model,sampling,roc_auc,avg_precision,f1_fraud,precision_fraud,recall_fraud,f1_macro,train_time_s
logistic_regression,no_sampling,0.9991,0.9496,0.4859,0.3242,0.9694,0.7421,0.0
decision_tree,no_sampling,0.8974,0.6506,0.4298,0.2943,0.7959,0.714,0.0
random_forest,no_sampling,0.998,0.8985,0.84,0.8235,0.8571,0.9199,0.0
xgboost,no_sampling,0.9983,0.9089,0.8224,0.7586,0.898,0.911,0.0
logistic_regression,smote,0.9992,0.9498,0.5846,0.4185,0.9694,0.7917,0.0
decision_tree,smote,0.9181,0.315,0.2385,0.1375,0.898,0.6168,10.55
random_forest,smote,0.9956,0.7737,0.2934,0.1735,0.949,0.6447,53.61
xgboost,smote,0.9986,0.9336,0.6039,0.4429,0.949,0.8014,4.05
logistic_regression,undersample,0.9991,0.948,0.4545,0.2969,0.9694,0.7263,0.0
decision_tree,undersample,0.9492,0.0362,0.074,0.0385,0.9388,0.5266,0.02
random_forest,undersample,0.9986,0.9233,0.243,0.1387,0.9796,0.6189,0.12
xgboost,undersample,0.9946,0.8797,0.153,0.0833,0.9388,0.572,0.1
logistic_regression,smote,0.9993,0.9505,0.4148,0.2639,0.9694,0.7062,0.31
decision_tree,smote,0.9544,0.1541,0.1759,0.0974,0.9082,0.5843,9.65
random_forest,smote,0.9965,0.7795,0.2389,0.1364,0.9592,0.6168,50.46
xgboost,smote,0.9978,0.9306,0.5671,0.4043,0.949,0.7829,3.65
